TAID,Pubchem CID,IUPAC Name,SMILES,Canonical SMILES,InChIKey,LC50DM
TOX-28,4510,"1,3-dinitrooxypropan-2-yl nitrate",O([N+](=O)[O-])C(CO[N+](=O)[O-])CO[N+](=O)[O-],O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],SNIOPGDIGTZGOP-UHFFFAOYSA-N,3.8510001
TOX-475,8814,"4-(2,4,4-trimethylpentan-2-yl)phenol",Oc1ccc(cc1)C(CC(C)(C)C)(C)C,CC(C)(C)CC(C)(C)c1ccc(O)cc1,ISAVYTVYFVQUDY-UHFFFAOYSA-N,6.3600001
TOX-593,448537,4-[(E)-4-(4-hydroxyphenyl)hex-3-en-3-yl]phenol,Oc1ccc(cc1)/C(=C(CC)/c1ccc(O)cc1)/CC,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,RGLYKWWBQGJZGM-ISLYRVAYSA-N,5.3699999
TOX-672,4055,"2-methylnaphthalene-1,4-dione",O=C1c2c(cccc2)C(=O)C=C1C,CC1=CC(=O)c2ccccc2C1=O,MJVAVZPDRWSRRC-UHFFFAOYSA-N,5.5450001
TOX-877,5794,"5-[2-(2-butoxyethoxy)ethoxymethyl]-6-propyl-1,3-benzodioxole",O1c2cc(CCC)c(cc2OC1)COCCOCCOCCCC,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,FIPWRIJSWJWJAI-UHFFFAOYSA-N,5.2909999
TOX-901,702,ethanol,OCC,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,0.58700001
TOX-913,4004,diethyl 2-dimethoxyphosphinothioylsulfanylbutanedioate,S(P(=S)(OC)OC)C(CC(OCC)=O)C(OCC)=O,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,JXSJBGJIGXNWCI-UHFFFAOYSA-N,7.658
TOX-1045,679,methylsulfinylmethane,S(=O)(C)C,CS(C)=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,0.495
TOX-1146,7835,2-(chloromethyl)oxirane,ClCC1OC1,ClCC1CO1,BRLQWZUYTZBJKN-UHFFFAOYSA-N,3.5999999
TOX-1156,4993,"5-(4-chlorophenyl)-6-ethylpyrimidine-2,4-diamine",Clc1ccc(cc1)-c1c(nc(nc1N)N)CC,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,WKSAUQYGYAYLPV-UHFFFAOYSA-N,4.632
TOX-1192,40326,"(3-phenoxyphenyl)methyl 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate",ClC(Cl)=CC1C(C)(C)C1C(OCc1cc(Oc2ccccc2)ccc1)=O,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,RLLPVAHGXHCWKJ-UHFFFAOYSA-N,7.902
TOX-1253,3117,"diethylcarbamothioylsulfanyl N,N-diethylcarbamodithioate",S(SC(=S)N(CC)CC)C(=S)N(CC)CC,CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N,6.3930001
TOX-1273,727,"1,2,3,4,5,6-hexachlorocyclohexane",ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,5.211
TOX-1698,323,chromen-2-one,O=c1ccc2ccccc2o1,O=c1ccc2ccccc2o1,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,4.0339999
TOX-1704,22311,1-methyl-4-prop-1-en-2-ylcyclohexene,C=C(C)C1CC=C(C)CC1,C=C(C)C1CC=C(C)CC1,XMGQYMWWDOXHJM-UHFFFAOYSA-N,6.6430001
TOX-1705,931,naphthalene,c1ccc2ccccc2c1,c1ccc2ccccc2c1,UFWIBTONFRDIAS-UHFFFAOYSA-N,4.0510001
TOX-1708,7991,pentanoic acid,CCCCC(=O)O,CCCCC(=O)O,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,3.3559999
TOX-1710,7452,"1,3-dinitrobenzene",O=[N+]([O-])c1cccc([N+](=O)[O-])c1,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,WDCYWAQPCXBPJA-UHFFFAOYSA-N,3.592
TOX-1712,8376,"2-methyl-1,3,5-trinitrobenzene",Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],SPSSULHKWOKEEL-UHFFFAOYSA-N,4.4089999
TOX-1713,1493,"2,4-dinitrophenol",O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,UFBJCMHMOXMLKC-UHFFFAOYSA-N,4.592
TOX-1717,8663,naphthalen-2-ol,Oc1ccc2ccccc2c1,Oc1ccc2ccccc2c1,JWAZRIHNYRIHIV-UHFFFAOYSA-N,4.6100001
TOX-1765,2256,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",CCNc1nc(Cl)nc(NC(C)C)n1,CCNc1nc(Cl)nc(NC(C)C)n1,MXWJVTOOROXGIU-UHFFFAOYSA-N,4.3610001
TOX-1810,25429,methyl N-(1H-benzimidazol-2-yl)carbamate,COC(=O)Nc1nc2ccccc2[nH]1,COC(=O)Nc1nc2ccccc2[nH]1,TWFZGCMQGLPBSX-UHFFFAOYSA-N,6.2690001
TOX-1839,299,"1,2,3,4,6,7,8,9,10,10-decachloropentacyclo[5.3.0.02,6.03,9.04,8]decan-5-one",O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,LHHGDZSESBACKH-UHFFFAOYSA-N,6.3940001
TOX-1869,2879,4-methylphenol,Cc1ccc(O)cc1,Cc1ccc(O)cc1,IWDCLRJOBJJRNH-UHFFFAOYSA-N,3.71
TOX-1878,4685,"1,4-dichlorobenzene",Clc1ccc(Cl)cc1,Clc1ccc(Cl)cc1,OCJBOOLMMGQPQU-UHFFFAOYSA-N,4.1300001
TOX-1912,6795,"7,10-diazoniatricyclo[8.4.0.02,7]tetradeca-1(14),2,4,6,10,12-hexaene",c1cc[n+]2c(c1)-c1cccc[n+]1CC2,c1cc[n+]2c(c1)-c1cccc[n+]1CC2,SYJFEGQWDCRVNX-UHFFFAOYSA-N,5.138
TOX-1954,6049,2-[2-[bis(carboxymethyl)amino]ethyl-(carboxymethyl)amino]acetic acid,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,KCXVZYZYPLLWCC-UHFFFAOYSA-N,3.1029999
TOX-2002,3589,"1,5,7,8,9,10,10-heptachlorotricyclo[5.2.1.02,6]deca-3,8-diene",ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,FRCCEHPWNOQAEU-UHFFFAOYSA-N,6.5120001
TOX-2069,4115,"1-methoxy-4-[2,2,2-trichloro-1-(4-methoxyphenyl)ethyl]benzene",COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,IAKOZHOLGAGEJT-UHFFFAOYSA-N,7.335
TOX-2070,7515,N-methylaniline,CNc1ccccc1,CNc1ccccc1,AFBPFSWMIHJQDM-UHFFFAOYSA-N,5.7909999
TOX-2121,7239,"1,2-dichlorobenzene",Clc1ccccc1Cl,Clc1ccccc1Cl,RFFLAFLAYFXFSW-UHFFFAOYSA-N,4.8060002
TOX-2156,996,phenol,Oc1ccccc1,Oc1ccccc1,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,3.8499999
TOX-2159,7673,isothiocyanatobenzene,S=C=Nc1ccccc1,S=C=Nc1ccccc1,QKFJKGMPGYROCL-UHFFFAOYSA-N,6.131
TOX-2161,6954,"2,4,6-trinitrophenol",O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,OXNIZHLAWKMVMX-UHFFFAOYSA-N,3.431
TOX-2190,1049,pyridine,c1ccncc1,c1ccncc1,JUJWROOIHBZHMG-UHFFFAOYSA-N,1.829
TOX-2235,7501,styrene,C=Cc1ccccc1,C=Cc1ccccc1,PPBRXRYQALVLMV-UHFFFAOYSA-N,3.451
TOX-2359,7808,4-bromophenol,Oc1ccc(Br)cc1,Oc1ccc(Br)cc1,GZFGOTFRPZRKDS-UHFFFAOYSA-N,4.4640002
TOX-2390,6574,"1,1,2-trichloroethane",ClCC(Cl)Cl,ClCC(Cl)Cl,UBOXGVDOUJQMTN-UHFFFAOYSA-N,3.4920001
TOX-2407,180,propan-2-one,CC(C)=O,CC(C)=O,CSCPPACGZOOCGX-UHFFFAOYSA-N,0.67199999
TOX-2497,5558,bromoform,BrC(Br)Br,BrC(Br)Br,DIKBFYAXUHHXCS-UHFFFAOYSA-N,3.74
TOX-2535,6212,chloroform,ClC(Cl)Cl,ClC(Cl)Cl,HEDRZPFGACZZDS-UHFFFAOYSA-N,3.2539999
TOX-2608,7095,"1,1'-biphenyl",c1ccc(-c2ccccc2)cc1,c1ccc(-c2ccccc2)cc1,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,4.9089999
TOX-2920,6419,"1,1,1,2,2-pentachloroethane",ClC(Cl)C(Cl)(Cl)Cl,ClC(Cl)C(Cl)(Cl)Cl,BNIXVQGCZULYKV-UHFFFAOYSA-N,4.4029999
TOX-2968,1032,propanoic acid,CCC(=O)O,CCC(=O)O,XBDQKXXYIPTUBI-UHFFFAOYSA-N,3.171
TOX-2969,6564,"1,2-dichloropropane",CC(Cl)CCl,CC(Cl)CCl,KNKRKFALVUDBJE-UHFFFAOYSA-N,3.306
TOX-3073,5943,tetrachloromethane,ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl,VZGDMQKNWNREIO-UHFFFAOYSA-N,3.6429999
TOX-3074,31373,"1,1,2,2-tetrachloroethene",ClC(Cl)=C(Cl)Cl,ClC(Cl)=C(Cl)Cl,CYTYCFOTNPOANT-UHFFFAOYSA-N,3.964
TOX-3122,6366,"1,1-dichloroethene",C=C(Cl)Cl,C=C(Cl)Cl,LGXVIGDEPROXKC-UHFFFAOYSA-N,3.506
TOX-3146,1140,toluene,Cc1ccccc1,Cc1ccccc1,YXFVVABEGXRONW-UHFFFAOYSA-N,2.9749999
TOX-3150,460,2-methoxyphenol,COc1ccccc1O,COc1ccccc1O,LHGVFZTZFXWLCP-UHFFFAOYSA-N,3.6800001
TOX-3151,4684,4-chlorophenol,Oc1ccc(Cl)cc1,Oc1ccc(Cl)cc1,WXNZTHHGJRFXKQ-UHFFFAOYSA-N,4.4260001
TOX-3156,5455,"dimethylcarbamothioylsulfanyl N,N-dimethylcarbamodithioate",CN(C)C(=S)SSC(=S)N(C)C,CN(C)C(=S)SSC(=S)N(C)C,KUAZQDVKQLNFPE-UHFFFAOYSA-N,6.059
TOX-3892,11,"1,2-dichloroethane",ClCCCl,ClCCCl,WSLDOOZREJYCGB-UHFFFAOYSA-N,2.527
TOX-3895,8343,"bis(2-ethylhexyl) benzene-1,2-dicarboxylate",CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,BJQHLKABXJIVAM-UHFFFAOYSA-N,4.5500002
TOX-3906,174,"ethane-1,2-diol",OCCO,OCCO,LYCAIKOWRPUZTN-UHFFFAOYSA-N,0.117
TOX-3980,2723949,ethanethioamide,CC(N)=S,CC(N)=S,YUKQRDCYNOVPGJ-UHFFFAOYSA-N,3.635
TOX-3982,6575,"1,1,2-trichloroethene",ClC=C(Cl)Cl,ClC=C(Cl)Cl,XSTXAVWGXDQKEL-UHFFFAOYSA-N,3.378
TOX-3989,12281,"3,5-dichloroaniline",Nc1cc(Cl)cc(Cl)c1,Nc1cc(Cl)cc(Cl)c1,UQRLKWGPEVNVHT-UHFFFAOYSA-N,5.1599998
TOX-4004,6129,naphthalen-1-yl N-methylcarbamate,CNC(=O)Oc1cccc2ccccc12,CNC(=O)Oc1cccc2ccccc12,CVXBEEMKQHEXEN-UHFFFAOYSA-N,5.3039999
TOX-4113,5853,"2,2,2-trichloro-1-dimethoxyphosphorylethanol",COP(=O)(OC)C(O)C(Cl)(Cl)Cl,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,NFACJZMKEDPNKN-UHFFFAOYSA-N,9.0880003
TOX-4135,440917,(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene,C=C(C)[C@H]1CC=C(C)CC1,C=C(C)[C@H]1CC=C(C)CC1,XMGQYMWWDOXHJM-JTQLQIEISA-N,5.2709999
TOX-4170,3036,"1-chloro-4-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,YVGGHNCTFXOJCH-UHFFFAOYSA-N,7.4699998
TOX-4304,991,diethoxy-(4-nitrophenoxy)-sulfanylidene-lambda5-phosphane,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,LCCNCVORNKJIRZ-UHFFFAOYSA-N,8.2690001
TOX-4305,5954,benzo[a]anthracene,c1ccc2cc3c(ccc4ccccc43)cc2c1,c1ccc2cc3c(ccc4ccccc43)cc2c1,DXBHBZVCASKNBY-UHFFFAOYSA-N,6.2189999
TOX-4324,6028,"2,3,4,6-tetrachlorophenol",Oc1c(Cl)cc(Cl)c(Cl)c1Cl,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,,6.006
TOX-4332,1732,4-chloro-3-methylphenol,Cc1cc(O)ccc1Cl,Cc1cc(O)ccc1Cl,CFKMVGJGLGKFKI-UHFFFAOYSA-N,4.8530002
TOX-4351,3082,2-dimethoxyphosphinothioylsulfanyl-N-methylacetamide,CNC(=O)CSP(=S)(OC)OC,CNC(=O)CSP(=S)(OC)OC,MCWXGJITAZMZEV-UHFFFAOYSA-N,5.1430001
TOX-4353,3048,"3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene",ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,DFBKLUNHFCTMDC-UHFFFAOYSA-N,6.428
TOX-4369,2723790,thiourea,NC(N)=S,NC(N)=S,UMGDCJDMYOKAJW-UHFFFAOYSA-N,3.927
TOX-4374,3039,"2,2-dichloroethenyl dimethyl phosphate",COP(=O)(OC)OC=C(Cl)Cl,COP(=O)(OC)OC=C(Cl)Cl,OEBRKCOSUFCWJD-UHFFFAOYSA-N,9.415
TOX-4406,6184,hexanal,CCCCCC=O,CCCCCC=O,JARKCYVAAOWBJS-UHFFFAOYSA-N,4.039
TOX-4430,887,methanol,CO,CO,OKKJLVBELUTLKV-UHFFFAOYSA-N,0.98900002
TOX-4433,6214,"1,1,1,2,2,2-hexachloroethane",ClC(Cl)(Cl)C(Cl)(Cl)Cl,ClC(Cl)(Cl)C(Cl)(Cl)Cl,VHHHONWQHHHLTI-UHFFFAOYSA-N,4.9429998
TOX-4437,6228,"N,N-dimethylformamide",CN(C)C=O,CN(C)C=O,ZMXDDKWLCZADIW-UHFFFAOYSA-N,0.70599997
TOX-4464,1031,propan-1-ol,CCCO,CCCO,BDERNNFJNOPAEC-UHFFFAOYSA-N,0.94400001
TOX-4469,6278,"1,1,1-trichloroethane",CC(Cl)(Cl)Cl,CC(Cl)(Cl)Cl,UOCLXMDMGBRAIB-UHFFFAOYSA-N,4.0760002
TOX-4492,6323,bromomethane,CBr,CBr,GZUXJHMPEANEGY-UHFFFAOYSA-N,4.6350002
TOX-4496,674,N-methylmethanamine,CNC,CNC,ROSDSFDQCJNGOL-UHFFFAOYSA-N,2.9549999
TOX-4501,6342,acetonitrile,CC#N,CC#N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,1.057
TOX-4503,6343,ethanethiol,CCS,CCS,DNJIEGIFACGWOD-UHFFFAOYSA-N,5.5630002
TOX-4504,6344,dichloromethane,ClCCl,ClCCl,YMWUJEATGCHHMB-UHFFFAOYSA-N,2.5869999
TOX-4509,6354,oxirane,C1CO1,C1CO1,IAYPIBMASNFSPL-UHFFFAOYSA-N,2.3429999
TOX-4558,6478,"1,2,3,4,5,5-hexachlorocyclopenta-1,3-diene",ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,VUNCWTMEJYMOOR-UHFFFAOYSA-N,6.7810001
TOX-4568,6492,"tricyclo[5.2.1.02,6]deca-3,8-diene",C1=CC2C3C=CC(C3)C2C1,C1=CC2C3C=CC(C3)C2C1,HECLRDQVFMWTQS-UHFFFAOYSA-N,4.0999999
TOX-4609,6544,"3,5,5-trimethylcyclohex-2-en-1-one",CC1=CC(=O)CC(C)(C)C1,CC1=CC(=O)CC(C)(C)C1,HJOVHMDZYOCNQW-UHFFFAOYSA-N,3.0610001
TOX-4621,6560,2-methylpropan-1-ol,CC(C)CO,CC(C)CO,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,1.826
TOX-4633,6573,"1,1-dichloropropane",CCC(Cl)Cl,CCC(Cl)Cl,WIHMGGWNMISDNJ-UHFFFAOYSA-N,3.691
TOX-4635,6579,prop-2-enamide,C=CC(N)=O,C=CC(N)=O,HRPVXLWXLXDGHG-UHFFFAOYSA-N,2.648
TOX-4646,6591,"1,1,2,2-tetrachloroethane",ClC(Cl)C(Cl)Cl,ClC(Cl)C(Cl)Cl,QPFMBZIOSGYJDE-UHFFFAOYSA-N,3.4690001
TOX-4657,6616,"2,2-dimethyl-3-methylidenebicyclo[2.2.1]heptane",C=C1C2CCC(C2)C1(C)C,C=C1C2CCC(C2)C1(C)C,CRPUJAZIXJMDBK-UHFFFAOYSA-N,3.7920001
TOX-4664,6623,4-[2-(4-hydroxyphenyl)propan-2-yl]phenol,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,IISBACLAFKSPIT-UHFFFAOYSA-N,4.2509999
TOX-4684,6654,"2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",CC1=CCC2CC1C2(C)C,CC1=CCC2CC1C2(C)C,GRWFGVWFFZKLTI-UHFFFAOYSA-N,3.5220001
TOX-4732,6734,"1,2-dihydroacenaphthylene",c1cc2c3c(cccc3c1)CC2,c1cc2c3c(cccc3c1)CC2,CWRYPZZKDGJXCA-UHFFFAOYSA-N,5.3790002
TOX-4735,6740,1-chloro-2-methyl-3-nitrobenzene,Cc1c(Cl)cccc1[N+](=O)[O-],Cc1c(Cl)cccc1[N+](=O)[O-],XCSNRORTQRKCHB-UHFFFAOYSA-N,4.6110001
TOX-4758,6781,"diethyl benzene-1,2-dicarboxylate",CCOC(=O)c1ccccc1C(=O)OCC,CCOC(=O)c1ccccc1C(=O)OCC,FLKPEMZONWLCSK-UHFFFAOYSA-N,3.6129999
TOX-4761,3026,"dibutyl benzene-1,2-dicarboxylate",CCCCOC(=O)c1ccccc1C(=O)OCCCC,CCCCOC(=O)c1ccccc1C(=O)OCCCC,DOIRQSBPFJWKBE-UHFFFAOYSA-N,4.8759999
TOX-4770,995,phenanthrene,c1ccc2c(c1)ccc1ccccc12,c1ccc2c(c1)ccc1ccccc12,YNPNZTXNASCQKK-UHFFFAOYSA-N,5.3660002
TOX-4782,2347,"2-O-benzyl 1-O-butyl benzene-1,2-dicarboxylate",CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,IRIAEXORFWYRCZ-UHFFFAOYSA-N,4.3850002
TOX-4841,992,"2,3,4,5,6-pentachlorophenol",Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,IZUPBVBPLAPZRR-UHFFFAOYSA-N,5.5219998
TOX-4847,6914,"2,4,6-trichlorophenol",Oc1c(Cl)cc(Cl)cc1Cl,Oc1c(Cl)cc(Cl)cc1Cl,LINPIYWFGCPVIE-UHFFFAOYSA-N,5.1469998
TOX-4867,6944,1-methyl-2-nitrobenzene,Cc1ccccc1[N+](=O)[O-],Cc1ccccc1[N+](=O)[O-],PLAZTCDQAHEYBI-UHFFFAOYSA-N,4.1440001
TOX-4868,6945,1-chloro-2-nitrobenzene,O=[N+]([O-])c1ccccc1Cl,O=[N+]([O-])c1ccccc1Cl,BFCFYVKQTRLZHA-UHFFFAOYSA-N,3.6619999
TOX-4870,6947,2-nitrophenol,O=[N+]([O-])c1ccccc1O,O=[N+]([O-])c1ccccc1O,IQUPABOKLQSFBK-UHFFFAOYSA-N,4.0240002
TOX-4872,6950,"2-butan-2-yl-4,6-dinitrophenol",CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,OWZPCEFYPSAJFR-UHFFFAOYSA-N,6
TOX-4884,6977,"1,4-dichloro-2-nitrobenzene",O=[N+]([O-])c1cc(Cl)ccc1Cl,O=[N+]([O-])c1cc(Cl)ccc1Cl,RZKKOBGFCAHLCZ-UHFFFAOYSA-N,4.2420001
TOX-4895,6998,2-hydroxybenzaldehyde,O=Cc1ccccc1O,O=Cc1ccccc1O,SMQUZDBALVYZAC-UHFFFAOYSA-N,4.474
TOX-4897,7000,2-methoxyaniline,COc1ccccc1N,COc1ccccc1N,VMPITZXILSNTON-UHFFFAOYSA-N,4.0110002
TOX-4901,7003,1-chloronaphthalene,Clc1cccc2ccccc12,Clc1cccc2ccccc12,JTPNRXUCIXHOKM-UHFFFAOYSA-N,5.007
TOX-4932,7047,quinoline,c1ccc2ncccc2c1,c1ccc2ncccc2c1,SMWDFEZZVXVKRB-UHFFFAOYSA-N,3.5309999
TOX-4977,7103,4-phenylphenol,Oc1ccc(-c2ccccc2)cc1,Oc1ccc(-c2ccccc2)cc1,YXVFYQXJAXKLAK-UHFFFAOYSA-N,4.6669998
TOX-4982,7107,9H-xanthene,c1ccc2c(c1)Cc1ccccc1O2,c1ccc2c(c1)Cc1ccccc1O2,GJCOSYZMQJWQCA-UHFFFAOYSA-N,3.9530001
TOX-5078,11418,2-methylcyclohexan-1-ol,Cc1ccccc1O,Cc1ccccc1O,NDVWOBYBJYUSMF-UHFFFAOYSA-N,3.855
TOX-5080,7240,2-chloroaniline,Nc1ccccc1Cl,Nc1ccccc1Cl,AKCRQHGQIJBRMN-UHFFFAOYSA-N,5.461
TOX-5082,7242,2-methylaniline,Cc1ccccc1N,Cc1ccccc1N,RNVCVTLRINQCPJ-UHFFFAOYSA-N,5.3140001
TOX-5085,7245,2-chlorophenol,Oc1ccccc1Cl,Oc1ccccc1Cl,ISPYQTSUDJAMAB-UHFFFAOYSA-N,4.2379999
TOX-5093,7257,"3,4-dichloroaniline",Nc1ccc(Cl)c(Cl)c1,Nc1ccc(Cl)c(Cl)c1,SDYWXFYBZPNOFX-UHFFFAOYSA-N,5.7470002
TOX-5097,7262,"2,5-dichloroaniline",Nc1cc(Cl)ccc1Cl,Nc1cc(Cl)ccc1Cl,AVYGCQXNNJPXSS-UHFFFAOYSA-N,4.744
TOX-5104,7271,"2,4,5-trichlorophenol",Oc1cc(Cl)c(Cl)cc1Cl,Oc1cc(Cl)c(Cl)cc1Cl,LHJGJYXLEPZJPM-UHFFFAOYSA-N,4.921
TOX-5127,2723650,imidazolidine-2-thione,S=C1NCCN1,S=C1NCCN1,PDQAZBWRQCGBEV-UHFFFAOYSA-N,3.5880001
TOX-5140,6,"1-chloro-2,4-dinitrobenzene",O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,VYZAHLCBVHPDDF-UHFFFAOYSA-N,5.4029999
TOX-5160,7347,"dimethylcarbamothioyl N,N-dimethylcarbamodithioate",CN(C)C(=S)SC(=S)N(C)C,CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,4.8559999
TOX-5201,7406,cumene,CC(C)c1ccccc1,CC(C)c1ccccc1,RWGFKTVRMDUZSP-UHFFFAOYSA-N,3.684
TOX-5210,7416,nitrobenzene,O=[N+]([O-])c1ccccc1,O=[N+]([O-])c1ccccc1,LQNUZADURLCDLV-UHFFFAOYSA-N,3.6589999
TOX-5216,7422,1-methyl-3-nitrobenzene,Cc1cccc([N+](=O)[O-])c1,Cc1cccc([N+](=O)[O-])c1,QZYHIOPPLUPUJF-UHFFFAOYSA-N,4.0770001
TOX-5245,7462,"1-methyl-4-propan-2-ylcyclohexa-1,3-diene",CC1=CC=C(C(C)C)CC1,CC1=CC=C(C(C)C)CC1,YHQGMYUVUMAZJR-UHFFFAOYSA-N,4.8670001
