"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0500000US13001","Appling County, Georgia","18428","*****","*****","null","13601","358","null","null","3642","172","null","null","123","168","null","null","0","22","null","null","0","22","null","null","669","null","324","null","393","271","null","null","279","252","null","null","114","83","null","null",
"0500000US13003","Atkinson County, Georgia","8311","*****","*****","null","5865","268","null","null","1299","139","null","null","56","19","null","null","0","20","null","null","0","20","null","null","707","null","298","null","384","231","null","null","209","189","null","null","175","131","null","null",
"0500000US13005","Bacon County, Georgia","11140","*****","*****","null","8870","182","null","null","1832","114","null","null","0","22","null","null","52","63","null","null","0","22","null","null","206","null","177","null","180","102","null","null","16","27","null","null","164","96","null","null",
"0500000US13007","Baker County, Georgia","3090","*****","*****","null","1682","263","null","null","1181","272","null","null","3","5","null","null","175","134","null","null","17","28","null","null","0","null","14","null","32","47","null","null","0","14","null","null","32","47","null","null",
"0500000US13009","Baldwin County, Georgia","45072","*****","*****","null","24113","164","null","null","18952","327","null","null","52","48","null","null","802","44","null","null","72","127","null","null","223","null","104","null","858","294","null","null","176","117","null","null","682","287","null","null",
"0500000US13011","Banks County, Georgia","18900","21","null","null","17221","177","null","null","408","148","null","null","94","130","null","null","211","40","null","null","0","22","null","null","479","null","254","null","487","206","null","null","183","163","null","null","304","146","null","null",
"0500000US13013","Barrow County, Georgia","81294","*****","*****","null","61666","850","null","null","9857","330","null","null","194","115","null","null","3249","122","null","null","5","12","null","null","2456","null","592","null","3867","784","null","null","2042","658","null","null","1825","350","null","null",
"0500000US13015","Bartow County, Georgia","106456","*****","*****","null","86828","864","null","null","10680","684","null","null","154","105","null","null","983","253","null","null","62","116","null","null","3228","null","756","null","4521","806","null","null","1539","435","null","null","2982","637","null","null",
"0500000US13017","Ben Hill County, Georgia","16889","*****","*****","null","9858","306","null","null","6238","186","null","null","0","22","null","null","99","128","null","null","0","22","null","null","485","null","295","null","209","146","null","null","12","23","null","null","197","141","null","null",
"0500000US13019","Berrien County, Georgia","19206","*****","*****","null","16037","187","null","null","1997","159","null","null","12","22","null","null","186","70","null","null","0","22","null","null","405","null","192","null","569","219","null","null","159","145","null","null","410","145","null","null",
"0500000US13021","Bibb County, Georgia","153026","*****","*****","null","60112","441","null","null","83070","641","null","null","315","107","null","null","3084","182","null","null","66","57","null","null","1498","null","504","null","4881","745","null","null","1469","466","null","null","3412","578","null","null",
"0500000US13023","Bleckley County, Georgia","12870","*****","*****","null","9092","81","null","null","3673","61","null","null","0","22","null","null","15","18","null","null","0","22","null","null","44","null","72","null","46","47","null","null","0","22","null","null","46","47","null","null",
"0500000US13025","Brantley County, Georgia","18924","*****","*****","null","17674","122","null","null","657","204","null","null","43","73","null","null","174","219","null","null","0","22","null","null","88","null","84","null","288","207","null","null","37","47","null","null","251","200","null","null",
"0500000US13027","Brooks County, Georgia","15548","*****","*****","null","9042","333","null","null","5593","198","null","null","0","22","null","null","96","165","null","null","17","26","null","null","517","null","337","null","283","131","null","null","37","44","null","null","246","125","null","null",
"0500000US13029","Bryan County, Georgia","38321","*****","*****","null","28858","417","null","null","5553","316","null","null","172","94","null","null","515","173","null","null","26","41","null","null","1175","null","450","null","2022","424","null","null","379","225","null","null","1643","365","null","null",
"0500000US13031","Bulloch County, Georgia","77719","*****","*****","null","50039","326","null","null","21777","444","null","null","173","68","null","null","1066","126","null","null","208","292","null","null","1191","null","465","null","3265","483","null","null","750","235","null","null","2515","397","null","null",
"0500000US13033","Burke County, Georgia","22567","*****","*****","null","11140","85","null","null","10685","190","null","null","0","26","null","null","102","56","null","null","0","26","null","null","260","null","93","null","380","210","null","null","143","143","null","null","237","152","null","null",
"0500000US13035","Butts County, Georgia","24463","*****","*****","null","16509","164","null","null","6949","275","null","null","2","5","null","null","117","121","null","null","0","26","null","null","248","null","174","null","638","242","null","null","198","137","null","null","440","207","null","null",
"0500000US13037","Calhoun County, Georgia","6301","*****","*****","null","2135","57","null","null","3793","81","null","null","0","20","null","null","54","60","null","null","0","20","null","null","216","null","78","null","103","59","null","null","35","33","null","null","68","48","null","null",
"0500000US13039","Camden County, Georgia","53960","*****","*****","null","39095","407","null","null","9831","479","null","null","385","110","null","null","1034","239","null","null","48","40","null","null","749","null","335","null","2818","579","null","null","609","230","null","null","2209","573","null","null",
"0500000US13043","Candler County, Georgia","10834","*****","*****","null","7346","284","null","null","2727","110","null","null","0","22","null","null","63","78","null","null","0","22","null","null","402","null","211","null","296","203","null","null","174","186","null","null","122","83","null","null",
"0500000US13045","Carroll County, Georgia","118692","*****","*****","null","87103","1194","null","null","23310","455","null","null","947","448","null","null","911","177","null","null","65","59","null","null","2935","null","971","null","3421","567","null","null","1676","411","null","null","1745","378","null","null",
"0500000US13047","Catoosa County, Georgia","67181","*****","*****","null","61649","347","null","null","1443","318","null","null","231","107","null","null","913","149","null","null","36","57","null","null","1119","null","431","null","1790","398","null","null","110","125","null","null","1680","376","null","null",
"0500000US13049","Charlton County, Georgia","13032","*****","*****","null","8522","185","null","null","3430","328","null","null","162","90","null","null","142","115","null","null","13","17","null","null","241","null","131","null","522","213","null","null","73","42","null","null","449","206","null","null",
"0500000US13051","Chatham County, Georgia","289649","*****","*****","null","148803","940","null","null","116658","983","null","null","727","161","null","null","7973","485","null","null","444","109","null","null","5558","null","944","null","9486","1368","null","null","2437","807","null","null","7049","1001","null","null",
"0500000US13053","Chattahoochee County, Georgia","10470","*****","*****","null","6887","181","null","null","2213","147","null","null","15","23","null","null","257","72","null","null","42","47","null","null","382","null","148","null","674","160","null","null","180","94","null","null","494","138","null","null",
"0500000US13055","Chattooga County, Georgia","24826","*****","*****","null","21037","272","null","null","2421","131","null","null","15","25","null","null","98","57","null","null","0","26","null","null","538","null","285","null","717","165","null","null","154","68","null","null","563","151","null","null",
"0500000US13057","Cherokee County, Georgia","253780","*****","*****","null","216093","1545","null","null","17665","987","null","null","724","408","null","null","4731","306","null","null","236","256","null","null","4581","null","1226","null","9750","1217","null","null","3880","1051","null","null","5870","873","null","null",
"0500000US13059","Clarke County, Georgia","126952","*****","*****","null","78708","907","null","null","35829","335","null","null","225","215","null","null","4934","362","null","null","53","47","null","null","3000","null","880","null","4203","766","null","null","1484","504","null","null","2719","519","null","null",
"0500000US13061","Clay County, Georgia","2931","*****","*****","null","1251","192","null","null","1632","198","null","null","0","14","null","null","31","56","null","null","0","14","null","null","11","null","18","null","6","8","null","null","0","14","null","null","6","8","null","null",
"0500000US13063","Clayton County, Georgia","287560","*****","*****","null","43404","1860","null","null","200776","1543","null","null","403","218","null","null","14758","232","null","null","201","167","null","null","17312","null","2313","null","10706","1570","null","null","3067","899","null","null","7639","1316","null","null",
"0500000US13065","Clinch County, Georgia","6648","*****","*****","null","4485","273","null","null","1672","479","null","null","156","270","null","null","2","4","null","null","0","20","null","null","238","null","312","null","95","86","null","null","0","20","null","null","95","86","null","null",
"0500000US13067","Cobb County, Georgia","756653","*****","*****","null","432175","2987","null","null","208593","1967","null","null","1699","479","null","null","41663","792","null","null","478","316","null","null","36815","null","2709","null","35230","2569","null","null","13517","1938","null","null","21713","1830","null","null",
"0500000US13069","Coffee County, Georgia","43070","*****","*****","null","28232","461","null","null","12335","252","null","null","34","43","null","null","300","101","null","null","0","30","null","null","667","null","401","null","1502","456","null","null","467","248","null","null","1035","382","null","null",
"0500000US13071","Colquitt County, Georgia","45510","*****","*****","null","28489","716","null","null","10681","112","null","null","504","316","null","null","346","84","null","null","9","16","null","null","4399","null","758","null","1082","487","null","null","675","449","null","null","407","206","null","null",
"0500000US13073","Columbia County, Georgia","154257","*****","*****","null","111740","760","null","null","25908","1225","null","null","387","232","null","null","6376","469","null","null","0","33","null","null","1866","null","521","null","7980","1579","null","null","1564","684","null","null","6416","1348","null","null",
"0500000US13075","Cook County, Georgia","17217","*****","*****","null","11818","232","null","null","4709","223","null","null","0","22","null","null","151","148","null","null","0","22","null","null","133","null","146","null","406","235","null","null","77","116","null","null","329","209","null","null",
"0500000US13077","Coweta County, Georgia","145839","*****","*****","null","109633","615","null","null","25557","633","null","null","360","137","null","null","2918","280","null","null","24","33","null","null","2437","null","741","null","4910","858","null","null","810","442","null","null","4100","757","null","null",
"0500000US13079","Crawford County, Georgia","12267","*****","*****","null","9146","189","null","null","2709","81","null","null","16","24","null","null","15","24","null","null","0","22","null","null","209","null","197","null","172","96","null","null","55","76","null","null","117","75","null","null",
"0500000US13081","Crisp County, Georgia","22509","*****","*****","null","11813","141","null","null","10303","141","null","null","0","26","null","null","26","33","null","null","23","39","null","null","42","null","48","null","302","182","null","null","130","127","null","null","172","120","null","null",
"0500000US13083","Dade County, Georgia","16183","*****","*****","null","15188","150","null","null","182","102","null","null","0","22","null","null","206","173","null","null","21","40","null","null","66","null","55","null","520","162","null","null","128","116","null","null","392","119","null","null",
"0500000US13085","Dawson County, Georgia","25277","*****","*****","null","23937","286","null","null","187","74","null","null","26","40","null","null","179","51","null","null","0","26","null","null","98","null","134","null","850","295","null","null","392","278","null","null","458","91","null","null",
"0500000US13087","Decatur County, Georgia","26595","*****","*****","null","13871","212","null","null","11094","331","null","null","38","55","null","null","179","5","null","null","0","26","null","null","1082","null","417","null","331","120","null","null","58","80","null","null","273","124","null","null",
"0500000US13089","DeKalb County, Georgia","755287","*****","*****","null","252673","1690","null","null","402410","2657","null","null","6594","918","null","null","46505","992","null","null","503","94","null","null","13527","null","1723","null","33075","2701","null","null","11917","1874","null","null","21158","1798","null","null",
"0500000US13091","Dodge County, Georgia","20725","*****","*****","null","13986","135","null","null","6172","207","null","null","17","30","null","null","66","85","null","null","0","26","null","null","195","null","129","null","289","189","null","null","30","66","null","null","259","174","null","null",
"0500000US13093","Dooly County, Georgia","13571","*****","*****","null","6160","179","null","null","6711","61","null","null","6","11","null","null","0","22","null","null","0","22","null","null","251","null","155","null","443","185","null","null","331","188","null","null","112","68","null","null",
"0500000US13095","Dougherty County, Georgia","88696","*****","*****","null","22825","223","null","null","61851","549","null","null","162","78","null","null","862","112","null","null","40","44","null","null","1156","null","354","null","1800","491","null","null","127","110","null","null","1673","462","null","null",
"0500000US13097","Douglas County, Georgia","145063","*****","*****","null","64710","1034","null","null","69022","960","null","null","124","68","null","null","2490","184","null","null","13","39","null","null","3887","null","929","null","4817","1169","null","null","1085","698","null","null","3732","895","null","null",
"0500000US13099","Early County, Georgia","10218","*****","*****","null","4578","35","null","null","5201","188","null","null","50","54","null","null","52","89","null","null","0","22","null","null","54","null","69","null","283","173","null","null","0","22","null","null","283","173","null","null",
"0500000US13101","Echols County, Georgia","3944","*****","*****","null","2637","346","null","null","140","119","null","null","64","56","null","null","0","14","null","null","0","14","null","null","672","null","212","null","431","324","null","null","367","317","null","null","64","66","null","null",
"0500000US13103","Effingham County, Georgia","62241","*****","*****","null","49910","703","null","null","8460","364","null","null","110","64","null","null","415","97","null","null","52","54","null","null","873","null","412","null","2421","699","null","null","540","534","null","null","1881","476","null","null",
"0500000US13105","Elbert County, Georgia","19164","*****","*****","null","12713","346","null","null","5683","152","null","null","27","45","null","null","123","102","null","null","0","22","null","null","228","null","235","null","390","252","null","null","232","234","null","null","158","97","null","null",
"0500000US13107","Emanuel County, Georgia","22525","*****","*****","null","13956","222","null","null","7532","254","null","null","48","45","null","null","38","52","null","null","0","26","null","null","240","null","192","null","711","312","null","null","142","144","null","null","569","256","null","null",
"0500000US13109","Evans County, Georgia","10671","*****","*****","null","6186","155","null","null","3048","146","null","null","32","44","null","null","101","4","null","null","0","22","null","null","1042","null","154","null","262","144","null","null","24","32","null","null","238","145","null","null",
"0500000US13111","Fannin County, Georgia","25797","*****","*****","null","24708","219","null","null","45","39","null","null","26","35","null","null","79","88","null","null","35","43","null","null","295","null","196","null","609","131","null","null","184","120","null","null","425","136","null","null",
"0500000US13113","Fayette County, Georgia","113544","*****","*****","null","73208","988","null","null","26715","653","null","null","166","128","null","null","4988","387","null","null","196","202","null","null","3578","null","1149","null","4693","658","null","null","1403","427","null","null","3290","537","null","null",
"0500000US13115","Floyd County, Georgia","97805","*****","*****","null","76407","999","null","null","13548","369","null","null","154","100","null","null","1167","234","null","null","19","42","null","null","2935","null","802","null","3575","757","null","null","892","560","null","null","2683","470","null","null",
"0500000US13117","Forsyth County, Georgia","236605","*****","*****","null","178832","1024","null","null","8574","585","null","null","691","303","null","null","33873","614","null","null","49","72","null","null","4792","null","1026","null","9794","1063","null","null","4185","787","null","null","5609","702","null","null",
"0500000US13119","Franklin County, Georgia","23015","*****","*****","null","19641","301","null","null","2045","138","null","null","74","90","null","null","273","67","null","null","0","26","null","null","502","null","306","null","480","170","null","null","46","57","null","null","434","158","null","null",
"0500000US13121","Fulton County, Georgia","1051550","*****","*****","null","456397","3643","null","null","458669","2412","null","null","4084","823","null","null","76832","982","null","null","407","122","null","null","18208","null","2628","null","36953","3542","null","null","10896","2560","null","null","26057","2471","null","null",
"0500000US13123","Gilmer County, Georgia","30986","*****","*****","null","28542","560","null","null","131","87","null","null","343","173","null","null","98","59","null","null","3","6","null","null","1098","null","509","null","771","203","null","null","123","105","null","null","648","160","null","null",
"0500000US13125","Glascock County, Georgia","2984","*****","*****","null","2652","55","null","null","290","62","null","null","14","20","null","null","0","14","null","null","1","3","null","null","0","null","14","null","27","23","null","null","0","14","null","null","27","23","null","null",
"0500000US13127","Glynn County, Georgia","85008","*****","*****","null","57618","465","null","null","21640","680","null","null","203","98","null","null","1283","176","null","null","94","77","null","null","1151","null","391","null","3019","888","null","null","480","321","null","null","2539","772","null","null",
"0500000US13129","Gordon County, Georgia","57756","*****","*****","null","48960","843","null","null","2348","294","null","null","715","513","null","null","694","125","null","null","77","107","null","null","2912","null","831","null","2050","529","null","null","957","435","null","null","1093","289","null","null",
"0500000US13131","Grady County, Georgia","24693","*****","*****","null","15910","439","null","null","7203","162","null","null","116","81","null","null","152","12","null","null","11","22","null","null","76","null","92","null","1225","410","null","null","3","5","null","null","1222","411","null","null",
"0500000US13133","Greene County, Georgia","17808","*****","*****","null","10486","173","null","null","6146","31","null","null","0","22","null","null","202","22","null","null","4","8","null","null","697","null","265","null","273","192","null","null","258","189","null","null","15","15","null","null",
"0500000US13135","Gwinnett County, Georgia","926414","*****","*****","null","420220","4661","null","null","260366","2624","null","null","3619","826","null","null","112541","1119","null","null","412","518","null","null","79446","null","5290","null","49810","4444","null","null","23380","3957","null","null","26430","2676","null","null",
"0500000US13137","Habersham County, Georgia","45204","*****","*****","null","38422","731","null","null","1196","182","null","null","73","78","null","null","977","146","null","null","321","419","null","null","2276","null","674","null","1939","519","null","null","780","463","null","null","1159","226","null","null",
"0500000US13139","Hall County, Georgia","201434","21","null","null","162231","1587","null","null","14476","645","null","null","518","238","null","null","3836","242","null","null","21","24","null","null","8179","null","1455","null","12173","1556","null","null","8086","1370","null","null","4087","897","null","null",
"0500000US13141","Hancock County, Georgia","8500","*****","*****","null","2088","21","null","null","6140","148","null","null","0","20","null","null","121","131","null","null","12","23","null","null","101","null","60","null","38","37","null","null","0","20","null","null","38","37","null","null",
"0500000US13143","Haralson County, Georgia","29608","*****","*****","null","27222","147","null","null","1287","225","null","null","40","49","null","null","248","76","null","null","0","26","null","null","171","null","123","null","640","258","null","null","43","49","null","null","597","256","null","null",
"0500000US13145","Harris County, Georgia","34676","*****","*****","null","27450","172","null","null","5545","164","null","null","40","36","null","null","228","139","null","null","2","4","null","null","346","null","164","null","1065","218","null","null","71","55","null","null","994","211","null","null",
"0500000US13147","Hart County, Georgia","25981","*****","*****","null","19952","224","null","null","5093","154","null","null","147","193","null","null","251","93","null","null","0","26","null","null","124","null","117","null","414","210","null","null","70","80","null","null","344","197","null","null",
