"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error","Georgia!!Total!!Estimate","Georgia!!Total!!Margin of Error","Georgia!!Below poverty level!!Estimate","Georgia!!Below poverty level!!Margin of Error","Georgia!!Percent below poverty level!!Estimate","Georgia!!Percent below poverty level!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Below poverty level!!Estimate","Barrow County, Georgia!!Below poverty level!!Margin of Error","Barrow County, Georgia!!Percent below poverty level!!Estimate","Barrow County, Georgia!!Percent below poverty level!!Margin of Error","Bartow County, Georgia!!Total!!Estimate","Bartow County, Georgia!!Total!!Margin of Error","Bartow County, Georgia!!Below poverty level!!Estimate","Bartow County, Georgia!!Below poverty level!!Margin of Error","Bartow County, Georgia!!Percent below poverty level!!Estimate","Bartow County, Georgia!!Percent below poverty level!!Margin of Error","Bibb County, Georgia!!Total!!Estimate","Bibb County, Georgia!!Total!!Margin of Error","Bibb County, Georgia!!Below poverty level!!Estimate","Bibb County, Georgia!!Below poverty level!!Margin of Error","Bibb County, Georgia!!Percent below poverty level!!Estimate","Bibb County, Georgia!!Percent below poverty level!!Margin of Error","Bulloch County, Georgia!!Total!!Estimate","Bulloch County, Georgia!!Total!!Margin of Error","Bulloch County, Georgia!!Below poverty level!!Estimate","Bulloch County, Georgia!!Below poverty level!!Margin of Error","Bulloch County, Georgia!!Percent below poverty level!!Estimate","Bulloch County, Georgia!!Percent below poverty level!!Margin of Error","Carroll County, Georgia!!Total!!Estimate","Carroll County, Georgia!!Total!!Margin of Error","Carroll County, Georgia!!Below poverty level!!Estimate","Carroll County, Georgia!!Below poverty level!!Margin of Error","Carroll County, Georgia!!Percent below poverty level!!Estimate","Carroll County, Georgia!!Percent below poverty level!!Margin of Error","Catoosa County, Georgia!!Total!!Estimate","Catoosa County, Georgia!!Total!!Margin of Error","Catoosa County, Georgia!!Below poverty level!!Estimate","Catoosa County, Georgia!!Below poverty level!!Margin of Error","Catoosa County, Georgia!!Percent below poverty level!!Estimate","Catoosa County, Georgia!!Percent below poverty level!!Margin of Error","Chatham County, Georgia!!Total!!Estimate","Chatham County, Georgia!!Total!!Margin of Error","Chatham County, Georgia!!Below poverty level!!Estimate","Chatham County, Georgia!!Below poverty level!!Margin of Error","Chatham County, Georgia!!Percent below poverty level!!Estimate","Chatham County, Georgia!!Percent below poverty level!!Margin of Error","Cherokee County, Georgia!!Total!!Estimate","Cherokee County, Georgia!!Total!!Margin of Error","Cherokee County, Georgia!!Below poverty level!!Estimate","Cherokee County, Georgia!!Below poverty level!!Margin of Error","Cherokee County, Georgia!!Percent below poverty level!!Estimate","Cherokee County, Georgia!!Percent below poverty level!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Below poverty level!!Estimate","Clarke County, Georgia!!Below poverty level!!Margin of Error","Clarke County, Georgia!!Percent below poverty level!!Estimate","Clarke County, Georgia!!Percent below poverty level!!Margin of Error","Clayton County, Georgia!!Total!!Estimate","Clayton County, Georgia!!Total!!Margin of Error","Clayton County, Georgia!!Below poverty level!!Estimate","Clayton County, Georgia!!Below poverty level!!Margin of Error","Clayton County, Georgia!!Percent below poverty level!!Estimate","Clayton County, Georgia!!Percent below poverty level!!Margin of Error","Cobb County, Georgia!!Total!!Estimate","Cobb County, Georgia!!Total!!Margin of Error","Cobb County, Georgia!!Below poverty level!!Estimate","Cobb County, Georgia!!Below poverty level!!Margin of Error","Cobb County, Georgia!!Percent below poverty level!!Estimate","Cobb County, Georgia!!Percent below poverty level!!Margin of Error","Columbia County, Georgia!!Total!!Estimate","Columbia County, Georgia!!Total!!Margin of Error","Columbia County, Georgia!!Below poverty level!!Estimate","Columbia County, Georgia!!Below poverty level!!Margin of Error","Columbia County, Georgia!!Percent below poverty level!!Estimate","Columbia County, Georgia!!Percent below poverty level!!Margin of Error","Coweta County, Georgia!!Total!!Estimate","Coweta County, Georgia!!Total!!Margin of Error","Coweta County, Georgia!!Below poverty level!!Estimate","Coweta County, Georgia!!Below poverty level!!Margin of Error","Coweta County, Georgia!!Percent below poverty level!!Estimate","Coweta County, Georgia!!Percent below poverty level!!Margin of Error","DeKalb County, Georgia!!Total!!Estimate","DeKalb County, Georgia!!Total!!Margin of Error","DeKalb County, Georgia!!Below poverty level!!Estimate","DeKalb County, Georgia!!Below poverty level!!Margin of Error","DeKalb County, Georgia!!Percent below poverty level!!Estimate","DeKalb County, Georgia!!Percent below poverty level!!Margin of Error","Dougherty County, Georgia!!Total!!Estimate","Dougherty County, Georgia!!Total!!Margin of Error","Dougherty County, Georgia!!Below poverty level!!Estimate","Dougherty County, Georgia!!Below poverty level!!Margin of Error","Dougherty County, Georgia!!Percent below poverty level!!Estimate","Dougherty County, Georgia!!Percent below poverty level!!Margin of Error","Douglas County, Georgia!!Total!!Estimate","Douglas County, Georgia!!Total!!Margin of Error","Douglas County, Georgia!!Below poverty level!!Estimate","Douglas County, Georgia!!Below poverty level!!Margin of Error","Douglas County, Georgia!!Percent below poverty level!!Estimate","Douglas County, Georgia!!Percent below poverty level!!Margin of Error","Fayette County, Georgia!!Total!!Estimate","Fayette County, Georgia!!Total!!Margin of Error","Fayette County, Georgia!!Below poverty level!!Estimate","Fayette County, Georgia!!Below poverty level!!Margin of Error","Fayette County, Georgia!!Percent below poverty level!!Estimate","Fayette County, Georgia!!Percent below poverty level!!Margin of Error","Floyd County, Georgia!!Total!!Estimate","Floyd County, Georgia!!Total!!Margin of Error","Floyd County, Georgia!!Below poverty level!!Estimate","Floyd County, Georgia!!Below poverty level!!Margin of Error","Floyd County, Georgia!!Percent below poverty level!!Estimate","Floyd County, Georgia!!Percent below poverty level!!Margin of Error","Forsyth County, Georgia!!Total!!Estimate","Forsyth County, Georgia!!Total!!Margin of Error","Forsyth County, Georgia!!Below poverty level!!Estimate","Forsyth County, Georgia!!Below poverty level!!Margin of Error","Forsyth County, Georgia!!Percent below poverty level!!Estimate","Forsyth County, Georgia!!Percent below poverty level!!Margin of Error","Fulton County, Georgia!!Total!!Estimate","Fulton County, Georgia!!Total!!Margin of Error","Fulton County, Georgia!!Below poverty level!!Estimate","Fulton County, Georgia!!Below poverty level!!Margin of Error","Fulton County, Georgia!!Percent below poverty level!!Estimate","Fulton County, Georgia!!Percent below poverty level!!Margin of Error","Glynn County, Georgia!!Total!!Estimate","Glynn County, Georgia!!Total!!Margin of Error","Glynn County, Georgia!!Below poverty level!!Estimate","Glynn County, Georgia!!Below poverty level!!Margin of Error","Glynn County, Georgia!!Percent below poverty level!!Estimate","Glynn County, Georgia!!Percent below poverty level!!Margin of Error","Gwinnett County, Georgia!!Total!!Estimate","Gwinnett County, Georgia!!Total!!Margin of Error","Gwinnett County, Georgia!!Below poverty level!!Estimate","Gwinnett County, Georgia!!Below poverty level!!Margin of Error","Gwinnett County, Georgia!!Percent below poverty level!!Estimate","Gwinnett County, Georgia!!Percent below poverty level!!Margin of Error","Hall County, Georgia!!Total!!Estimate","Hall County, Georgia!!Total!!Margin of Error","Hall County, Georgia!!Below poverty level!!Estimate","Hall County, Georgia!!Below poverty level!!Margin of Error","Hall County, Georgia!!Percent below poverty level!!Estimate","Hall County, Georgia!!Percent below poverty level!!Margin of Error","Henry County, Georgia!!Total!!Estimate","Henry County, Georgia!!Total!!Margin of Error","Henry County, Georgia!!Below poverty level!!Estimate","Henry County, Georgia!!Below poverty level!!Margin of Error","Henry County, Georgia!!Percent below poverty level!!Estimate","Henry County, Georgia!!Percent below poverty level!!Margin of Error","Houston County, Georgia!!Total!!Estimate","Houston County, Georgia!!Total!!Margin of Error","Houston County, Georgia!!Below poverty level!!Estimate","Houston County, Georgia!!Below poverty level!!Margin of Error","Houston County, Georgia!!Percent below poverty level!!Estimate","Houston County, Georgia!!Percent below poverty level!!Margin of Error","Liberty County, Georgia!!Total!!Estimate","Liberty County, Georgia!!Total!!Margin of Error","Liberty County, Georgia!!Below poverty level!!Estimate","Liberty County, Georgia!!Below poverty level!!Margin of Error","Liberty County, Georgia!!Percent below poverty level!!Estimate","Liberty County, Georgia!!Percent below poverty level!!Margin of Error","Lowndes County, Georgia!!Total!!Estimate","Lowndes County, Georgia!!Total!!Margin of Error","Lowndes County, Georgia!!Below poverty level!!Estimate","Lowndes County, Georgia!!Below poverty level!!Margin of Error","Lowndes County, Georgia!!Percent below poverty level!!Estimate","Lowndes County, Georgia!!Percent below poverty level!!Margin of Error","Muscogee County, Georgia!!Total!!Estimate","Muscogee County, Georgia!!Total!!Margin of Error","Muscogee County, Georgia!!Below poverty level!!Estimate","Muscogee County, Georgia!!Below poverty level!!Margin of Error","Muscogee County, Georgia!!Percent below poverty level!!Estimate","Muscogee County, Georgia!!Percent below poverty level!!Margin of Error","Newton County, Georgia!!Total!!Estimate","Newton County, Georgia!!Total!!Margin of Error","Newton County, Georgia!!Below poverty level!!Estimate","Newton County, Georgia!!Below poverty level!!Margin of Error","Newton County, Georgia!!Percent below poverty level!!Estimate","Newton County, Georgia!!Percent below poverty level!!Margin of Error","Paulding County, Georgia!!Total!!Estimate","Paulding County, Georgia!!Total!!Margin of Error","Paulding County, Georgia!!Below poverty level!!Estimate","Paulding County, Georgia!!Below poverty level!!Margin of Error","Paulding County, Georgia!!Percent below poverty level!!Estimate","Paulding County, Georgia!!Percent below poverty level!!Margin of Error","Richmond County, Georgia!!Total!!Estimate","Richmond County, Georgia!!Total!!Margin of Error","Richmond County, Georgia!!Below poverty level!!Estimate","Richmond County, Georgia!!Below poverty level!!Margin of Error","Richmond County, Georgia!!Percent below poverty level!!Estimate","Richmond County, Georgia!!Percent below poverty level!!Margin of Error","Rockdale County, Georgia!!Total!!Estimate","Rockdale County, Georgia!!Total!!Margin of Error","Rockdale County, Georgia!!Below poverty level!!Estimate","Rockdale County, Georgia!!Below poverty level!!Margin of Error","Rockdale County, Georgia!!Percent below poverty level!!Estimate","Rockdale County, Georgia!!Percent below poverty level!!Margin of Error","Troup County, Georgia!!Total!!Estimate","Troup County, Georgia!!Total!!Margin of Error","Troup County, Georgia!!Below poverty level!!Estimate","Troup County, Georgia!!Below poverty level!!Margin of Error","Troup County, Georgia!!Percent below poverty level!!Estimate","Troup County, Georgia!!Percent below poverty level!!Margin of Error","Walker County, Georgia!!Total!!Estimate","Walker County, Georgia!!Total!!Margin of Error","Walker County, Georgia!!Below poverty level!!Estimate","Walker County, Georgia!!Below poverty level!!Margin of Error","Walker County, Georgia!!Percent below poverty level!!Estimate","Walker County, Georgia!!Percent below poverty level!!Margin of Error","Walton County, Georgia!!Total!!Estimate","Walton County, Georgia!!Total!!Margin of Error","Walton County, Georgia!!Below poverty level!!Estimate","Walton County, Georgia!!Below poverty level!!Margin of Error","Walton County, Georgia!!Percent below poverty level!!Estimate","Walton County, Georgia!!Percent below poverty level!!Margin of Error","Whitfield County, Georgia!!Total!!Estimate","Whitfield County, Georgia!!Total!!Margin of Error","Whitfield County, Georgia!!Below poverty level!!Estimate","Whitfield County, Georgia!!Below poverty level!!Margin of Error","Whitfield County, Georgia!!Percent below poverty level!!Estimate","Whitfield County, Georgia!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","310,899,910","±21,588","48,208,387","±241,557","15.5%","±0.1","9,823,859","±5,286","1,797,969","±39,080","18.3%","±0.4","72,258","±734","8,587","±2,491","11.9%","±3.4","100,891","±615","13,101","±2,781","13.0%","±2.8","147,600","±1,114","41,138","±4,452","27.9%","±3.0","65,656","±2,160","22,141","±3,423","33.7%","±4.9","109,777","±1,427","28,233","±5,653","25.7%","±5.2","64,446","±848","5,641","±1,984","8.8%","±3.1","269,238","±2,447","45,857","±4,435","17.0%","±1.7","229,175","±1,127","22,335","±5,504","9.7%","±2.4","110,216","±2,220","43,524","±4,779","39.5%","±4.3","262,517","±1,723","58,792","±5,537","22.4%","±2.1","719,932","±2,273","92,026","±11,254","12.8%","±1.6","138,872","±333","15,407","±3,956","11.1%","±2.9","134,589","±770","17,923","±3,839","13.3%","±2.8","706,513","±3,133","141,893","±9,907","20.1%","±1.4","88,540","±1,130","27,162","±3,266","30.7%","±3.8","137,235","±1,539","18,511","±4,728","13.5%","±3.4","109,012","±666","7,231","±2,687","6.6%","±2.5","92,155","±1,262","19,182","±4,337","20.8%","±4.7","203,571","±611","12,318","±3,183","6.1%","±1.6","963,999","±2,763","161,589","±10,242","16.8%","±1.1","80,687","±747","15,116","±2,720","18.7%","±3.4","872,040","±1,298","115,681","±11,471","13.3%","±1.3","187,884","±983","31,214","±4,898","16.6%","±2.6","211,958","±1,459","34,322","±6,516","16.2%","±3.1","147,188","±1,033","29,873","±6,660","20.3%","±4.5","62,854","±470","8,617","±2,096","13.7%","±3.3","109,497","±872","26,093","±3,898","23.8%","±3.6","194,111","±1,808","41,089","±4,669","21.2%","±2.4","102,390","±818","22,915","±4,878","22.4%","±4.8","148,148","±619","17,631","±5,246","11.9%","±3.5","191,648","±1,663","47,648","±5,509","24.9%","±2.9","86,284","±1,033","15,667","±3,271","18.2%","±3.8","67,456","±1,013","12,539","±2,648","18.6%","±3.9","66,416","±942","13,558","±2,554","20.4%","±3.9","86,644","±787","14,556","±3,345","16.8%","±3.9","102,762","±793","23,930","±4,574","23.3%","±4.4"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 18 years","72,386,485","±37,808","15,686,012","±121,867","21.7%","±0.2","2,455,901","±5,426","645,855","±20,427","26.3%","±0.8","19,202","±580","2,987","±1,302","15.6%","±6.7","25,026","±228","3,763","±1,246","15.0%","±5.0","38,107","±437","16,517","±2,432","43.3%","±6.4","14,409","±262","5,837","±1,397","40.5%","±9.6","27,569","±749","11,569","±2,994","42.0%","±10.9","15,124","±950","1,679","±893","11.1%","±6.0","60,829","±1,504","15,856","±2,754","26.1%","±4.7","58,222","±693","7,396","±2,578","12.7%","±4.4","21,040","±260","9,309","±2,161","44.2%","±10.2","74,235","±991","26,918","±3,713","36.3%","±5.0","177,503","±1,564","31,071","±5,648","17.5%","±3.2","36,152","±4","6,129","±2,130","17.0%","±5.9","34,349","±400","5,879","±1,863","17.1%","±5.4","167,226","±2,496","56,306","±6,109","33.7%","±3.6","22,115","±666","10,695","±1,805","48.4%","±8.1","36,952","±900","4,833","±1,781","13.1%","±4.8","26,177","±50","1,929","±1,022","7.4%","±3.9","22,427","±116","5,850","±2,246","26.1%","±10.0","58,739","±273","4,288","±1,843","7.3%","±3.1","229,327","±1,154","56,203","±5,487","24.5%","±2.4","18,152","±658","5,052","±1,448","27.8%","±7.9","243,232","±981","48,292","±6,317","19.9%","±2.6","49,518","±740","12,386","±2,369","25.0%","±4.7","57,023","±508","12,642","±3,529","22.2%","±6.2","37,999","±609","10,293","±3,538","27.1%","±9.3","18,785","±330","3,444","±1,313","18.3%","±7.0","27,998","±436","9,169","±1,826","32.7%","±6.5","47,934","±647","14,932","±2,314","31.2%","±4.9","27,951","±341","9,297","±2,632","33.3%","±9.4","41,749","±453","8,155","±3,426","19.5%","±8.2","46,999","±673","17,134","±2,965","36.5%","±6.4","21,816","±828","6,425","±1,793","29.5%","±8.0","17,189","±760","3,999","±1,349","23.3%","±7.7","14,832","±505","4,321","±1,283","29.1%","±8.5","22,394","±453","6,382","±1,912","28.5%","±8.6","27,590","±192","9,411","±2,318","34.1%","±8.4"
"        Related children under 18 years","72,047,954","±39,450","15,372,705","±120,618","21.3%","±0.2","2,448,499","±5,789","638,868","±20,557","26.1%","±0.8","19,071","±615","2,856","±1,296","15.0%","±6.7","24,996","±238","3,733","±1,250","14.9%","±5.0","38,107","±437","16,517","±2,432","43.3%","±6.4","14,297","±349","5,800","±1,400","40.6%","±9.7","27,425","±818","11,425","±3,014","41.7%","±11.0","15,014","±1,004","1,569","±866","10.5%","±5.9","60,394","±1,859","15,421","±2,787","25.5%","±4.7","58,085","±731","7,396","±2,578","12.7%","±4.4","20,987","±279","9,256","±2,158","44.1%","±10.3","74,041","±1,087","26,724","±3,708","36.1%","±5.0","177,012","±1,633","30,626","±5,655","17.3%","±3.2","36,044","±131","6,021","±2,119","16.7%","±5.9","34,227","±448","5,757","±1,882","16.8%","±5.5","166,229","±2,786","55,309","±6,104","33.3%","±3.6","22,010","±722","10,590","±1,787","48.1%","±8.0","36,942","±900","4,823","±1,781","13.1%","±4.8","26,177","±50","1,929","±1,022","7.4%","±3.9","22,427","±116","5,850","±2,246","26.1%","±10.0","58,693","±285","4,242","±1,843","7.2%","±3.1","228,934","±1,140","55,810","±5,454","24.4%","±2.4","17,866","±764","4,766","±1,448","26.7%","±8.0","242,886","±986","47,965","±6,319","19.7%","±2.6","49,467","±747","12,335","±2,367","24.9%","±4.7","56,615","±768","12,234","±3,526","21.6%","±6.2","37,974","±614","10,268","±3,542","27.0%","±9.3","18,785","±330","3,444","±1,313","18.3%","±7.0","27,943","±465","9,114","±1,827","32.6%","±6.5","47,742","±659","14,786","±2,307","31.0%","±4.9","27,951","±341","9,297","±2,632","33.3%","±9.4","41,669","±476","8,075","±3,406","19.4%","±8.2","46,903","±699","17,038","±2,976","36.3%","±6.4","21,816","±828","6,425","±1,793","29.5%","±8.0","17,185","±759","3,995","±1,349","23.2%","±7.7","14,791","±514","4,280","±1,290","28.9%","±8.6","22,394","±453","6,382","±1,912","28.5%","±8.6","27,534","±213","9,355","±2,318","34.0%","±8.4"
"    18 to 64 years","193,600,625","±26,307","28,267,482","±130,143","14.6%","±0.1","6,150,108","±4,104","1,025,404","±22,155","16.7%","±0.4","44,486","±486","5,091","±1,380","11.4%","±3.1","63,603","±681","8,438","±1,874","13.3%","±3.0","88,761","±1,034","21,876","±2,861","24.6%","±3.2","44,006","±2,070","15,674","±2,665","35.6%","±5.5","68,779","±1,238","14,806","±3,189","21.5%","±4.7","39,234","±850","3,419","±1,372","8.7%","±3.5","171,067","±1,737","27,227","±2,699","15.9%","±1.6","143,971","±1,416","13,495","±3,593","9.4%","±2.5","77,589","±2,266","32,834","±3,265","42.3%","±4.0","165,327","±1,648","29,401","±3,016","17.8%","±1.8","466,399","±1,854","56,210","±6,829","12.1%","±1.4","86,739","±358","8,683","±2,168","10.0%","±2.5","83,962","±781","11,046","±2,509","13.2%","±3.0","466,961","±1,483","78,018","±5,177","16.7%","±1.1","54,266","±917","13,962","±2,138","25.7%","±4.0","86,516","±1,360","11,392","±3,026","13.2%","±3.5","65,157","±715","4,514","±1,940","6.9%","±3.0","55,551","±1,177","11,679","±2,520","21.0%","±4.5","122,776","±819","6,706","±1,663","5.5%","±1.3","633,435","±2,491","93,863","±6,492","14.8%","±1.0","48,612","±732","9,266","±1,922","19.1%","±4.0","554,378","±960","61,816","±6,207","11.2%","±1.1","112,674","±801","16,350","±2,572","14.5%","±2.3","133,130","±1,534","19,028","±3,653","14.3%","±2.7","92,931","±1,138","18,387","±3,871","19.8%","±4.2","39,299","±615","4,527","±1,053","11.5%","±2.7","69,295","±913","15,744","±2,517","22.7%","±3.6","122,931","±1,561","23,095","±2,812","18.8%","±2.3","62,287","±844","12,281","±3,167","19.7%","±5.1","92,637","±701","8,416","±2,320","9.1%","±2.5","120,514","±1,577","27,850","±3,440","23.1%","±2.9","53,718","±664","8,438","±1,937","15.7%","±3.6","40,992","±1,259","7,379","±1,812","18.0%","±4.4","40,455","±928","8,481","±1,762","21.0%","±4.4","52,033","±567","6,630","±1,964","12.7%","±3.8","62,414","±912","12,856","±2,585","20.6%","±4.2"
"    65 years and over","44,912,800","±22,154","4,254,893","±32,757","9.5%","±0.1","1,217,850","±3,401","126,710","±5,636","10.4%","±0.5","8,570","±523","509","±332","5.9%","±3.9","12,262","±402","900","±445","7.3%","±3.6","20,732","±508","2,745","±681","13.2%","±3.3","7,241","±408","630","±320","8.7%","±4.5","13,429","±400","1,858","±743","13.8%","±5.5","10,088","±330","543","±349","5.4%","±3.5","37,342","±652","2,774","±666","7.4%","±1.7","26,982","±806","1,444","±856","5.4%","±3.2","11,587","±591","1,381","±623","11.9%","±5.4","22,955","±657","2,473","±934","10.8%","±4.1","76,030","±545","4,745","±1,061","6.2%","±1.4","15,981","±438","595","±341","3.7%","±2.1","16,278","±602","998","±465","6.1%","±2.9","72,326","±605","7,569","±1,387","10.5%","±1.9","12,159","±506","2,505","±589","20.6%","±4.8","13,767","±479","2,286","±1,062","16.6%","±7.7","17,678","±378","788","±472","4.5%","±2.6","14,177","±382","1,653","±584","11.7%","±4.1","22,056","±726","1,324","±564","6.0%","±2.5","101,237","±644","11,523","±1,762","11.4%","±1.7","13,923","±444","798","±459","5.7%","±3.3","74,430","±597","5,573","±1,223","7.5%","±1.6","25,692","±550","2,478","±953","9.6%","±3.6","21,805","±756","2,652","±1,087","12.2%","±5.0","16,258","±773","1,193","±498","7.3%","±3.1","4,770","±468","646","±427","13.5%","±9.1","12,204","±427","1,180","±456","9.7%","±3.8","23,246","±623","3,062","±763","13.2%","±3.3","12,152","±342","1,337","±508","11.0%","±4.2","13,762","±406","1,060","±518","7.7%","±3.6","24,135","±562","2,664","±709","11.0%","±2.9","10,750","±375","804","±427","7.5%","±3.9","9,275","±403","1,161","±549","12.5%","±5.7","11,129","±421","756","±410","6.8%","±3.6","12,217","±306","1,544","±606","12.6%","±4.9","12,758","±573","1,663","±714","13.0%","±5.3"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
