"Label (Grouping)","United States!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","United States!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Barrow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Barrow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Bartow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Bartow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Bibb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Bibb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Bulloch County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Bulloch County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Carroll County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Carroll County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Chatham County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Chatham County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Cherokee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Cherokee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Clarke County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Clarke County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Clayton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Clayton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Cobb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Cobb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Columbia County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Columbia County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Coweta County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Coweta County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","DeKalb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","DeKalb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Dougherty County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Dougherty County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Douglas County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Douglas County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Fayette County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Fayette County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Floyd County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Floyd County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Forsyth County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Forsyth County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Fulton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Fulton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Glynn County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Glynn County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Gwinnett County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Gwinnett County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Hall County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Hall County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Henry County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Henry County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Houston County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Houston County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Liberty County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Liberty County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Lowndes County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Lowndes County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Muscogee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Muscogee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Newton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Newton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Paulding County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Paulding County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Richmond County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Richmond County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Rockdale County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Rockdale County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Troup County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Troup County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Walker County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Walker County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Walton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Walton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Whitfield County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Whitfield County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error"
"All households","4.6%","±0.1","3.0%","±0.2","N","N","N","N","N","N","N","N","N","N","2.0%","±0.8","3.2%","±1.2","4.2%","±1.9","4.8%","±1.5","3.5%","±0.6","N","N","1.3%","±1.0","5.4%","±0.7","N","N","0.6%","±0.5","1.9%","±0.9","1.9%","±1.3","2.5%","±1.6","3.3%","±0.6","2.3%","±1.6","9.2%","±1.2","6.9%","±1.9","0.6%","±0.5","2.3%","±1.3","N","N","N","N","2.1%","±1.0","N","N","N","N","0.8%","±0.5","2.2%","±1.1","0.9%","±0.6","N","N","N","N","N","N"
"Households speaking --","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Spanish","24.3%","±0.2","28.9%","±2.1","N","N","N","N","N","N","N","N","N","N","43.1%","±14.7","29.0%","±12.0","58.0%","±18.3","25.4%","±13.3","25.7%","±5.9","N","N","6.2%","±11.7","36.6%","±6.9","N","N","3.2%","±5.2","30.9%","±19.5","21.8%","±14.6","14.9%","±17.0","28.3%","±7.2","25.6%","±19.6","31.3%","±5.6","34.5%","±8.7","0.0%","±7.5","17.0%","±10.3","N","N","N","N","24.3%","±12.2","N","N","N","N","15.2%","±15.8","24.1%","±14.9","21.5%","±11.1","N","N","N","N","N","N"
"    Other Indo-European languages","15.8%","±0.2","9.9%","±1.8","N","N","N","N","N","N","N","N","N","N","2.4%","±3.1","0.0%","±10.1","10.1%","±11.7","10.7%","±10.8","10.5%","±4.0","N","N","1.1%","±2.4","14.8%","±6.2","N","N","0.0%","±42.5","6.7%","±7.0","0.0%","±35.3","20.8%","±16.8","10.5%","±3.8","0.0%","±23.8","9.6%","±4.7","0.0%","±18.5","14.2%","±12.5","14.3%","±20.2","N","N","N","N","8.6%","±7.7","N","N","N","N","4.6%","±5.7","10.7%","±13.7","0.0%","±24.2","N","N","N","N","N","N"
"    Asian and Pacific Island languages","27.7%","±0.4","28.4%","±2.9","N","N","N","N","N","N","N","N","N","N","16.5%","±11.1","26.2%","±27.7","21.2%","±18.1","42.3%","±12.0","22.1%","±8.9","N","N","59.0%","±39.0","34.2%","±9.4","N","N","31.5%","±27.0","5.1%","±7.9","0.0%","±71.6","15.9%","±19.8","18.2%","±7.5","27.8%","±28.3","42.8%","±8.1","54.6%","±29.1","5.2%","±11.0","44.5%","±42.1","N","N","N","N","2.7%","±5.1","N","N","N","N","22.4%","±19.7","26.4%","±40.4","41.1%","±47.0","N","N","N","N","N","N"
"    Other languages","17.1%","±0.7","8.4%","±3.0","N","N","N","N","N","N","N","N","N","N","0.0%","±37.3","0.0%","±14.2","26.3%","±37.0","5.2%","±8.4","0.0%","±5.9","N","N","0.0%","±50.1","21.9%","±8.1","N","N","0.0%","±21.7","0.0%","±34.3","-","**","0.0%","±42.2","12.1%","±11.9","33.9%","±43.4","5.7%","±5.7","0.0%","±83.8","0.0%","±42.3","0.0%","±65.1","N","N","N","N","0.0%","±43.9","N","N","N","N","4.5%","±9.2","0.0%","±37.9","0.0%","±53.8","N","N","N","N","N","N"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Language status","3.3%","(X)","3.9%","(X)","3.0%","(X)","2.9%","(X)","2.7%","(X)","3.2%","(X)","4.2%","(X)","2.7%","(X)","4.0%","(X)","3.2%","(X)","4.3%","(X)","3.0%","(X)","3.5%","(X)","5.0%","(X)","5.0%","(X)","8.8%","(X)","3.5%","(X)","2.9%","(X)","2.6%","(X)","4.6%","(X)","3.2%","(X)","7.0%","(X)","3.5%","(X)","3.0%","(X)","2.2%","(X)","3.0%","(X)","4.1%","(X)","5.7%","(X)","3.6%","(X)","3.3%","(X)","2.7%","(X)","4.8%","(X)","4.1%","(X)","4.2%","(X)","2.1%","(X)","16.9%","(X)","1.7%","(X)"
"    Language status (speak a language other than English)","3.1%","(X)","3.2%","(X)","0.0%","(X)","0.2%","(X)","0.4%","(X)","0.0%","(X)","2.5%","(X)","1.9%","(X)","1.7%","(X)","1.7%","(X)","4.6%","(X)","1.8%","(X)","13.1%","(X)","5.6%","(X)","4.6%","(X)","14.6%","(X)","1.1%","(X)","4.1%","(X)","1.5%","(X)","4.1%","(X)","2.3%","(X)","15.7%","(X)","3.9%","(X)","1.4%","(X)","3.1%","(X)","0.6%","(X)","2.2%","(X)","1.8%","(X)","1.5%","(X)","0.0%","(X)","0.0%","(X)","5.7%","(X)","5.4%","(X)","6.5%","(X)","0.0%","(X)","6.9%","(X)","1.5%","(X)"
"    Ability to speak English","3.9%","(X)","3.9%","(X)","0.1%","(X)","2.1%","(X)","0.0%","(X)","0.0%","(X)","2.9%","(X)","2.0%","(X)","2.0%","(X)","2.1%","(X)","5.0%","(X)","3.0%","(X)","14.6%","(X)","5.6%","(X)","5.3%","(X)","14.6%","(X)","1.1%","(X)","3.8%","(X)","1.5%","(X)","4.1%","(X)","3.2%","(X)","14.9%","(X)","4.6%","(X)","1.7%","(X)","1.4%","(X)","2.8%","(X)","6.1%","(X)","2.5%","(X)","3.8%","(X)","1.3%","(X)","6.3%","(X)","4.8%","(X)","6.3%","(X)","7.6%","(X)","0.0%","(X)","6.9%","(X)","1.7%","(X)"